"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"33e05c91-df90-47d5-bd16-d3aec1e50c7e",TRUE,1,3,2
"11cd1875-0a44-4e16-849c-05ac8765382f",TRUE,5,9,2
"db72b462-40f7-4b70-97b0-f772fbe42f79",TRUE,4,2,2
"552585a4-c57f-4a2d-b706-dfcb88a28b6a",TRUE,3,1,2
"8992873a-4e2d-4f2d-8677-eefb2c4c671a",TRUE,6,9,2
"d466a565-4636-4bd3-b216-290e918e2ddd",TRUE,5,6,2
"b8572226-e1d0-4f83-9885-0dd0b0221f88",TRUE,6,9,2
"5075094d-b369-4384-9c12-6d2d84dc5403",TRUE,4,2,2
"117124f1-6e45-4844-b8f2-358c71e7d483",TRUE,8,8,2
"c98edac6-5d07-446c-8616-2f19ef4e0733",TRUE,1,2,2
"46337a87-b15d-4495-9b10-2c836f8f7a72",TRUE,7,6,2
"efaca64b-3110-4edd-9a53-ef4ec5331df5",TRUE,3,1,2
"c0a21f00-0e69-4c38-ab1d-ee9cf43ecd8d",TRUE,5,5,2
"656becb7-ca40-46f6-a41d-76e88ea99fb0",TRUE,1,7,2
"e334e03f-fc1e-49f3-9005-0b11a7311aaa",TRUE,5,5,2
"3ce5cac3-e60c-482a-95ae-547b98eb0974",TRUE,3,7,2
"75552184-6eb2-4ebf-a429-598429952574",TRUE,6,9,2
"65211110-7808-4bad-9c5f-864c8ce728fc",TRUE,1,2,2
"bc890db8-3b3c-49bf-8b39-0d4835cd2bf6",TRUE,8,1,2
"a9d0d002-b301-4cf5-9330-8669474a1099",TRUE,4,2,2
"46d5e5c3-0610-40f6-b1f5-43902427d8ac",TRUE,5,3,2
"6722705d-73ec-475c-99be-46b4d876dca0",TRUE,4,1,2
"e7eb2b32-5943-4039-b7a5-569518cfe94d",TRUE,1,2,2
"6eefb52a-fb45-430c-a731-56add662e93b",TRUE,5,3,2
"bbd2995a-ee78-4e74-bdf5-376a41726521",TRUE,5,3,2
"e83096f2-af69-4765-8cb7-d0ce58bc4ff8",TRUE,6,6,2
"842a977f-473f-4742-ac7f-cb0566e969c9",TRUE,4,7,2
"34c4a17b-251e-4bc1-91a5-83c0195d3766",TRUE,4,7,2
"07df9c2e-e32c-43c0-8c06-d767fb72c2a8",TRUE,5,5,2
"155772e5-7cad-48bd-bab6-d9859a1cb3e5",TRUE,5,4,2
"344f2085-2eba-41be-9813-c3a1f6eb6098",TRUE,5,9,2
"f57ca1a0-7bb2-4ba8-ac07-a179fd266d07",TRUE,4,7,2
"0c96f0ae-055d-4267-9049-f159f6a6f03b",TRUE,5,4,2
"889e8313-90d8-4fe7-a042-595c421ba308",TRUE,4,7,2
"fe663637-0ea9-4384-bad6-3d715bdb34ea",TRUE,3,1,2
"3e439e60-7962-4e96-869d-b7c8756d3a9c",TRUE,8,8,2
"59a5974c-fce4-470c-ad76-3c9fab176b72",TRUE,5,4,2
"8d12f303-28e2-4b55-a6e2-cf545d9b8a2c",TRUE,5,9,2
"5047b5e2-e296-492d-8eee-28bd519a6d40",TRUE,4,3,2
"87a49b97-cffa-44d6-9d93-398611b9c815",TRUE,4,7,2
"03ac6ec9-72e0-40ea-bd43-e3441a0c856c",TRUE,4,2,2
"10d6ffde-4b8c-4eb2-a2ff-00d715678c2c",TRUE,5,9,2
"098ecd21-2175-487d-aeb9-19793d2043b8",TRUE,3,1,2
"4af4e940-a188-4c69-aa1c-fa39b426648d",TRUE,3,1,2
"7730f8a6-3af5-4838-8b41-694f5c084514",TRUE,5,9,2
"f218933d-c52c-458b-b199-13fd8ef0a73f",TRUE,1,2,2
"ef62a990-5918-4a59-95eb-60a1c7b0910b",TRUE,7,6,2
"ef62a990-5918-4a59-95eb-60a1c7b0910b",TRUE,7,6,2
"dd26d839-d549-4cb0-aac4-8c50d89e9697",TRUE,3,1,2
"4f740185-bc21-4d3a-9f8d-7599cbd1bb29",TRUE,4,7,2
"69625d82-07c7-457b-b44e-de166d5a6106",TRUE,1,2,2
"6e897cd8-9fed-4625-abcd-f058e2f754e3",TRUE,5,3,2
"2e810ac3-f7d0-490f-9d4e-92f7e241368f",TRUE,6,9,2
"68f02a2f-7caa-4b2b-8860-d66c5ec5252b",TRUE,6,9,2
"f35f3988-a328-4e49-9512-c3a61e1fda27",TRUE,3,1,2
"b3ed4268-daae-4b2d-bf66-d94c340c5950",TRUE,4,2,2
